"","enddate","NKE.Close","lag","log.return","observation"
"1","2015-12-17",130.220001,130.929993,-0.00543744028794979,1
"2","2015-12-18",128.520004,130.220001,-0.0131407701168103,2
"3","2015-12-21",129.800003,128.520004,0.00991026201125234,3
"4","2015-12-22",131.850006,129.800003,0.0156701309230822,4
"5","2015-12-23",128.710007,131.850006,-0.0241030922584384,5
"6","2015-12-24",63.18,128.710007,-0.711574070673175,6
"7","2015-12-28",63.810001,63.18,0.00992213817784116,7
"8","2015-12-29",64.260002,63.810001,0.00702745125949189,8
"9","2015-12-30",63.25,64.260002,-0.0158422572036425,9
"10","2015-12-31",62.5,63.25,-0.0119285708652734,10
"11","2016-01-04",61.52,62.5,-0.0158042315449674,11
"12","2016-01-05",62.380001,61.52,0.0138824020130475,12
"13","2016-01-06",61.490002,62.380001,-0.0143701347194449,13
"14","2016-01-07",59.849998,61.490002,-0.0270331939038853,14
"15","2016-01-08",58.869999,59.849998,-0.0165097925335171,15
"16","2016-01-11",59.549999,58.869999,0.0114846729551088,16
"17","2016-01-12",59.939999,59.549999,0.00652776619646911,17
"18","2016-01-13",58.779999,59.939999,-0.0195424012269854,18
"19","2016-01-14",58.509998,58.779999,-0.00460399836022862,19
"20","2016-01-15",57.560001,58.509998,-0.0163697462256103,20
"21","2016-01-19",58.32,57.560001,0.0131171883080601,21
"22","2016-01-20",59.040001,58.32,0.0122701095294833,22
"23","2016-01-21",60.560001,59.040001,0.0254194284118565,23
"24","2016-01-22",60.880001,60.560001,0.00527010433744302,24
"25","2016-01-25",60.700001,60.880001,-0.00296101543926852,25
"26","2016-01-26",61.110001,60.700001,0.00673182073084089,26
"27","2016-01-27",59.580002,61.110001,-0.0253555544173105,27
"28","2016-01-28",61.200001,59.580002,0.0268272250047019,28
"29","2016-01-29",62.009998,61.200001,0.0131484242507742,29
"30","2016-02-01",63.16,62.009998,0.0183755592785175,30
"31","2016-02-02",62.549999,63.16,-0.00970496846173141,31
