"","enddate","FB.Close","lag","log.return","observation"
"1","2015-12-17",106.220001,106.790001,-0.00535187413895066,1
"2","2015-12-18",104.040001,106.220001,-0.0207369742165371,2
"3","2015-12-21",104.769997,104.040001,0.00699199253858307,3
"4","2015-12-22",105.510002,104.769997,0.00703831137882815,4
"5","2015-12-23",104.629997,105.510002,-0.00837546538905976,5
"6","2015-12-24",105.019997,104.629997,0.0037204909232349,6
"7","2015-12-28",105.93,105.019997,0.00862771896467951,7
"8","2015-12-29",107.260002,105.93,0.0124773135926546,8
"9","2015-12-30",106.220001,107.260002,-0.00974338779238337,9
"10","2015-12-31",104.660004,106.220001,-0.0147953852456197,10
"11","2016-01-04",102.220001,104.660004,-0.0235896760401015,11
"12","2016-01-05",102.730003,102.220001,0.0049768533079817,12
"13","2016-01-06",102.970001,102.730003,0.00233347694928998,13
"14","2016-01-07",97.919998,102.970001,-0.0502868950410473,14
"15","2016-01-08",97.330002,97.919998,-0.00604351135212777,15
"16","2016-01-11",97.510002,97.330002,0.00184767037069289,16
"17","2016-01-12",99.370003,97.510002,0.0188953300757255,17
"18","2016-01-13",95.440002,99.370003,-0.0403524886882352,18
"19","2016-01-14",98.370003,95.440002,0.0302381112765344,19
"20","2016-01-15",94.970001,98.370003,-0.0351748472372666,20
"21","2016-01-19",95.260002,94.970001,0.00304895358338264,21
"22","2016-01-20",94.349998,95.260002,-0.00959876575099372,22
"23","2016-01-21",94.160004,94.349998,-0.00201574518398751,23
"24","2016-01-22",97.940002,94.160004,0.0393595612619331,24
"25","2016-01-25",97.010002,97.940002,-0.00954098010521331,25
"26","2016-01-26",97.339996,97.010002,0.00339587672260855,26
"27","2016-01-27",94.449997,97.339996,-0.0301394011275518,27
"28","2016-01-28",109.110001,94.449997,0.14428599464739,28
"29","2016-01-29",112.209999,109.110001,0.0280155499328423,29
"30","2016-02-01",115.089996,112.209999,0.0253422894600774,30
"31","2016-02-02",114.610001,115.089996,-0.00417932699114054,31
"32","2016-02-03",112.690002,114.610001,-0.0168943655217877,32
"33","2016-02-04",110.489998,112.690002,-0.0197157026881642,33
"34","2016-02-05",104.07,110.489998,-0.0598612513741301,34
"35","2016-02-08",99.75,104.07,-0.0423966938797946,35
"36","2016-02-09",99.540001,99.75,-0.00210747229335251,36
"37","2016-02-10",101,99.540001,0.0145609333646393,37
"38","2016-02-11",101.910004,101,0.00896959324966051,38
"39","2016-02-12",102.010002,101.910004,0.000980757209427807,39
"40","2016-02-16",101.610001,102.010002,-0.00392890196100737,40
"41","2016-02-17",105.199997,101.610001,0.0347213064471585,41
"42","2016-02-18",103.470001,105.199997,-0.0165815465050025,42
"43","2016-02-19",104.57,103.470001,0.010574978329001,43
"44","2016-02-22",107.160004,104.57,0.0244663783932708,44
"45","2016-02-23",105.459999,107.160004,-0.0159913573837134,45
"46","2016-02-24",106.879997,105.459999,0.0133749570994182,46
"47","2016-02-25",108.07,106.879997,0.0110724835956013,47
"48","2016-02-26",107.919998,108.07,-0.00138897194782039,48
"49","2016-02-29",106.919998,107.919998,-0.00930932080211022,49
