"","enddate","MMM.Close","lag","log.return","observation"
"1","2015-12-17",148.850006,149.949997,-0.00736275741752923,1
"2","2015-12-18",146.919998,148.850006,-0.013050920432204,2
"3","2015-12-21",147.479996,146.919998,0.00380433890500598,3
"4","2015-12-22",148.970001,147.479996,0.01005240386064,4
"5","2015-12-23",151.160004,148.970001,0.0145939548390528,5
"6","2015-12-24",151.190002,151.160004,0.00019843227718308,6
"7","2015-12-28",151.220001,151.190002,0.000198399522507664,7
"8","2015-12-29",152.889999,151.220001,0.010982965288866,8
"9","2015-12-30",151.910004,152.889999,-0.00643043548092059,9
"10","2015-12-31",150.639999,151.910004,-0.00839538884039737,10
"11","2016-01-04",146.820007,150.639999,-0.0256854833504914,11
"12","2016-01-05",147.460007,146.820007,0.00434960567194143,12
"13","2016-01-06",144.490005,147.460007,-0.0203466644220134,13
"14","2016-01-07",140.970001,144.490005,-0.0246632267334483,14
"15","2016-01-08",140.490005,140.970001,-0.00341076142326102,15
"16","2016-01-11",140.460007,140.490005,-0.000213546886155491,16
"17","2016-01-12",140.860001,140.460007,0.00284369584938649,17
"18","2016-01-13",138.720001,140.860001,-0.0153089761755147,18
"19","2016-01-14",141.179993,138.720001,0.0175781021442338,19
"20","2016-01-15",138.690002,141.179993,-0.017794381296337,20
"21","2016-01-19",138.389999,138.690002,-0.00216546207701107,21
"22","2016-01-20",136.960007,138.389999,-0.0103868155086397,22
"23","2016-01-21",137.759995,136.960007,0.00582404088117094,23
"24","2016-01-22",139.520004,137.759995,0.0126949844459796,24
"25","2016-01-25",137.570007,139.520004,-0.0140750594743038,25
"26","2016-01-26",144.779999,137.570007,0.0510824126018736,26
"27","2016-01-27",145.550003,144.779999,0.00530434884514186,27
"28","2016-01-28",147.320007,145.550003,0.0120874482893703,28
"29","2016-01-29",151,147.320007,0.0246726977224485,29
"30","2016-02-01",148.729996,151,-0.0151472821047909,30
"31","2016-02-02",147.869995,148.729996,-0.00579907913822275,31
"32","2016-02-03",152.520004,147.869995,0.030962285643521,32
"33","2016-02-04",153.440002,152.520004,0.00601386295410755,33
"34","2016-02-05",153.470001,153.440002,0.000195490533395848,34
"35","2016-02-08",153.899994,153.470001,0.00279788715554297,35
"36","2016-02-09",154.740005,153.899994,0.00544331957509581,36
"37","2016-02-10",152.449997,154.740005,-0.0149096676778937,37
"38","2016-02-11",150.669998,152.449997,-0.0117446522165254,38
"39","2016-02-12",153.960007,150.669998,0.0216008723427441,39
"40","2016-02-16",155.529999,153.960007,0.0101457587449421,40
"41","2016-02-17",156.619995,155.529999,0.00698382477154702,41
"42","2016-02-18",156.779999,156.619995,0.00102108498382325,42
"43","2016-02-19",156.449997,156.779999,-0.00210709144277565,43
"44","2016-02-22",157.699997,156.449997,0.00795802400609436,44
"45","2016-02-23",156.169998,157.699997,-0.00974933025233238,45
"46","2016-02-24",157.220001,156.169998,0.00670096003292731,46
"47","2016-02-25",158.990005,157.220001,0.0111952338830115,47
"48","2016-02-26",158.270004,158.990005,-0.00453887799067765,48
"49","2016-02-29",156.869995,158.270004,-0.00888505562383646,49
"50","2016-03-01",159.589996,156.869995,0.0171905963522452,50
"51","2016-03-02",159.410004,159.589996,-0.00112847660878401,51
"52","2016-03-03",159.380005,159.410004,-0.000188205396916885,52
"53","2016-03-04",160.070007,159.380005,0.00431994394830681,53
"54","2016-03-07",160.570007,160.070007,0.00311876486681317,54
"55","2016-03-08",160.199997,160.570007,-0.00230701224861907,55
"56","2016-03-09",160.089996,160.199997,-0.000686883803609817,56
"57","2016-03-10",159.889999,160.089996,-0.00125005956102875,57
"58","2016-03-11",161.880005,159.889999,0.0123692783517129,58
"59","2016-03-14",161.809998,161.880005,-0.000432555843200788,59
"60","2016-03-15",162.410004,161.809998,0.00370123176399595,60
"61","2016-03-16",162.889999,162.410004,0.00295109341486466,61
"62","2016-03-17",163.75,162.889999,0.00526575428495946,62
"63","2016-03-18",165.330002,163.75,0.00960261414491104,63
"64","2016-03-21",164.839996,165.330002,-0.00296820645561002,64
"65","2016-03-22",164.910004,164.839996,0.000424612591671369,65
"66","2016-03-23",164.270004,164.910004,-0.00388845489306977,66
"67","2016-03-24",164.460007,164.270004,0.00115598220302626,67
"68","2016-03-28",166.279999,164.460007,0.0110056862641947,68
"69","2016-03-29",164.389999,166.279999,-0.0114314609321609,69
"70","2016-03-30",166.75,164.389999,0.0142540373574098,70
"71","2016-03-31",166.630005,166.75,-0.000719869238600346,71
