"","enddate","FOLD.Close","lag","log.return","observation"
"1","2015-12-17",9.02,9.53,-0.0550003835915787,1
"2","2015-12-18",9.12,9.02,0.0110254700117078,2
"3","2015-12-21",9.67,9.12,0.0585585053789628,3
"4","2015-12-22",9.61,9.67,-0.00622408648300166,4
"5","2015-12-23",9.67,9.61,0.00622408648300166,5
"6","2015-12-24",9.4,9.67,-0.0283186201892445,6
"7","2015-12-28",9.39,9.4,-0.00106439605578679,7
"8","2015-12-29",9.64,9.39,0.0262758154022826,8
"9","2015-12-30",9.64,9.64,0,9
"10","2015-12-31",9.7,9.64,0.0062047768868827,10
"11","2016-01-04",9.03,9.7,-0.0715735180804429,11
"12","2016-01-05",9.21,9.03,0.0197374828383214,12
"13","2016-01-06",8.79,9.21,-0.0466751385701301,13
"14","2016-01-07",8.05,8.79,-0.0879426202666131,14
"15","2016-01-08",7.85,8.05,-0.0251585596361554,15
"16","2016-01-11",7.31,7.85,-0.0712702580326297,16
"17","2016-01-12",7.31,7.31,0,17
"18","2016-01-13",6.54,7.31,-0.11130610829258,18
"19","2016-01-14",7.42,6.54,0.126241891710182,19
"20","2016-01-15",7.36,7.42,-0.00811912443850415,20
"21","2016-01-19",6.79,7.36,-0.0806089911701802,21
"22","2016-01-20",7.22,6.79,0.0614040113341301,22
"23","2016-01-21",7.26,7.22,0.00552487593196993,23
"24","2016-01-22",7.51,7.26,0.0338556369393388,24
"25","2016-01-25",7.22,7.51,-0.0393805128713087,25
"26","2016-01-26",6.84,7.22,-0.0540672212702757,26
"27","2016-01-27",6.25,6.84,-0.0902062678861488,27
"28","2016-01-28",5.78,6.25,-0.0781777810640241,28
"29","2016-01-29",6.04,5.78,0.0440003292624374,29
"30","2016-02-01",6.13,6.04,0.0147907380013965,30
"31","2016-02-02",6.04,6.13,-0.0147907380013965,31
"32","2016-02-03",5.85,6.04,-0.0319623507029585,32
"33","2016-02-04",6.4,5.85,0.0898563291218613,33
"34","2016-02-05",5.99,6.4,-0.0662065782382681,34
"35","2016-02-08",5.16,5.99,-0.149154832633887,35
"36","2016-02-09",5.28,5.16,0.0229895182246989,36
"37","2016-02-10",5.39,5.28,0.0206192872027355,37
"38","2016-02-11",5.24,5.39,-0.0282238865879549,38
"39","2016-02-12",5.33,5.24,0.0170297398448023,39
"40","2016-02-16",5.82,5.33,0.0879490235655933,40
"41","2016-02-17",6.57,5.82,0.121213570753173,41
"42","2016-02-18",6.45,6.57,-0.0184337016888381,42
"43","2016-02-19",6.77,6.45,0.0484209561165025,43
"44","2016-02-22",7.16,6.77,0.0560088940483707,44
"45","2016-02-23",6.95,7.16,-0.0297683213958535,45
"46","2016-02-24",6.56,6.95,-0.0577510566207033,46
"47","2016-02-25",6.44,6.56,-0.0184620628397352,47
"48","2016-02-26",6.23,6.44,-0.0331522073169006,48
"49","2016-02-29",6.16,6.23,-0.0112995552539332,49
"50","2016-03-01",6.85,6.16,0.106171874728705,50
"51","2016-03-02",7.98,6.85,0.152689759187584,51
"52","2016-03-03",7.68,7.98,-0.0383188643021364,52
"53","2016-03-04",7.55,7.68,-0.0170719838986475,53
"54","2016-03-07",8.24,7.55,0.0874527806604468,54
"55","2016-03-08",7.68,8.24,-0.0703807967617993,55
"56","2016-03-09",7.5,7.68,-0.0237165266173163,56
"57","2016-03-10",7.4,7.5,-0.0134230203321404,57
"58","2016-03-11",7.91,7.4,0.0666477815694382,58
"59","2016-03-14",8.02,7.91,0.0138106400988605,59
"60","2016-03-15",7.5,8.02,-0.0670354013361583,60
"61","2016-03-16",7.21,7.5,-0.0394340692454069,61
"62","2016-03-17",7.27,7.21,0.00828734024857014,62
"63","2016-03-18",7.86,7.27,0.0780303148956873,63
"64","2016-03-21",7.73,7.86,-0.0166777438417847,64
"65","2016-03-22",8.3,7.73,0.0711466522032218,65
"66","2016-03-23",7.65,8.3,-0.0815498669641079,66
"67","2016-03-24",7.76,7.65,0.0142766863566828,67
"68","2016-03-28",7.68,7.76,-0.0103627870355463,68
"69","2016-03-29",8.11,7.68,0.0544783209677404,69
"70","2016-03-30",7.99,8.11,-0.0149071083491381,70
