Date,Open,High,Low,Close,Volume
2/9/16,79.980003,80.669998,78.690002,80.080002,18418100
2/10/16,79.769997,81.449997,79.279999,79.349998,16610900
2/11/16,78.339996,80.150002,77.580002,79.599998,19331600
2/12/16,80.080002,81.07,79.809998,81.029999,16767200
2/16/16,81.699997,81.849998,80.279999,81.220001,15912200
2/17/16,81.650002,82.779999,81.160004,82,17006700
2/18/16,82.900002,83.059998,81.860001,82.449997,14873700
2/19/16,82.190002,82.550003,80.910004,82.5,13615900
2/22/16,82.5,83.440002,82.199997,82.389999,14595200
2/23/16,81.989998,82.370003,80.879997,81.230003,11041600
2/24/16,79.910004,81.769997,79.669998,81.519997,13777500
2/25/16,81.559998,82.07,80.019997,82.010002,13706400
2/26/16,82.889999,83.080002,81.690002,81.75,14343300
2/29/16,81.879997,82.400002,80.050003,80.150002,18903600
3/1/16,80.559998,81.769997,80.32,81.279999,15730600
3/2/16,80.949997,82.720001,80.309998,82.699997,14094400
3/3/16,82.660004,82.720001,81.540001,82.400002,13216200
3/4/16,82.660004,82.970001,81.760002,82.290001,18402700
3/7/16,82.309998,84.459999,82.209999,84.459999,18945600
3/8/16,84,84.209999,82.480003,82.629997,14003900
3/9/16,83.220001,83.849998,82.239998,82.400002,14139300
3/10/16,82.419998,82.660004,80.93,82.18,15898300
3/11/16,83.220001,83.529999,82.010002,82.190002,15370200
3/14/16,81.480003,82.639999,81.019997,82.410004,13344600
3/15/16,81.599998,82.849998,81.519997,82.82,9213000
3/16/16,83.019997,83.160004,81.940002,82.870003,11492100
3/17/16,83.68,84.68,82.720001,84.099998,13673900
3/18/16,84.589996,84.599998,83.25,84.199997,19637000
3/21/16,83.839996,84.139999,83.5,83.620003,8385400
3/22/16,83.080002,84.860001,83.010002,84.120003,13005100
3/23/16,83.860001,84.300003,83.519997,83.75,12748900
3/24/16,82.940002,84.029999,82.93,83.980003,9368300
3/28/16,84.029999,84.360001,83.699997,84.220001,7490400
3/29/16,83.669998,84.610001,83.160004,84.529999,9977900
3/30/16,85.029999,85.050003,84,84.519997,10807000
3/31/16,84.07,85.099998,83.589996,83.589996,13896900
4/1/16,82.400002,83.389999,82.389999,82.959999,12235300
4/4/16,83.059998,83.900002,82.779999,83.160004,8050200
4/5/16,82.610001,83.129997,81.989998,82.209999,10446800
4/6/16,82.690002,83.459999,82.300003,83.309998,9320200
4/7/16,82.760002,83.169998,82.050003,82.370003,8267100
4/8/16,83.300003,83.449997,82.849998,83.209999,9376200
4/11/16,83.330002,84.239998,83.279999,83.32,9925000
4/12/16,83.690002,84.629997,83.370003,84.349998,9986100
4/13/16,84.5,84.910004,84.040001,84.830002,9235700
4/14/16,85,85.900002,84.760002,85.43,10625800
4/15/16,85.300003,85.660004,84.779999,84.970001,11280200
4/18/16,84.970001,85.860001,83.860001,85.779999,9032900
4/19/16,85.849998,86.309998,85.220001,86.209999,10354500
4/20/16,86.230003,87.440002,85.970001,86.800003,15247100
4/21/16,86.589996,87.839996,86.57,86.790001,12075300
4/22/16,87.239998,87.639999,86.82,87.529999,9150800
4/25/16,87.089996,87.400002,86.349998,87.330002,8076400
4/26/16,87.75,87.940002,87.059998,87.629997,9425900
4/27/16,87.949997,88.720001,87.330002,88.459999,10463500
4/28/16,87.860001,88.779999,87.5,88.029999,11276200
4/29/16,88.68,89.779999,87.739998,88.400002,17885900
5/2/16,88.239998,89.480003,88.080002,89.129997,10273700
5/3/16,88.400002,88.629997,87.360001,88.110001,9944600
5/4/16,88.300003,88.739998,87.599998,87.940002,10601100
5/5/16,88.760002,88.970001,87.620003,88.040001,8721100
5/6/16,87.459999,88.68,87.459999,88.510002,7964000
5/9/16,88.599998,88.760002,87.230003,88.57,11159500
5/10/16,88.900002,90,88.82,89.989998,12509100
5/11/16,89.160004,89.68,88.720001,88.809998,11660200
5/12/16,89.800003,89.93,89.150002,89.669998,10720500
5/13/16,89.279999,89.660004,88.510002,88.660004,9721100
5/16/16,89.199997,89.669998,89,89.57,8638700
5/17/16,89.269997,89.910004,89.160004,89.529999,9835600
5/18/16,89.800003,90,88.650002,89.349998,9680300
5/19/16,88.610001,90.160004,88.449997,90.110001,14397900
5/20/16,90.389999,90.400002,89.379997,89.739998,13191900
5/23/16,89,89.900002,88.82,89.599998,11766100
5/24/16,89.889999,90.400002,89.550003,89.669998,10056600
5/25/16,89.849998,90.370003,89.589996,90.260002,9578400
5/26/16,90.25,90.459999,89.269997,89.800003,7867900
5/27/16,89.400002,90.050003,89.32,90.010002,7478100
5/31/16,90,90.199997,88.730003,89.019997,13178800
6/1/16,88.43,89.449997,88.129997,89.239998,7994800
6/2/16,88.209999,88.529999,87.610001,88.529999,9837500
6/3/16,88.440002,88.830002,88.029999,88.370003,9308300
6/6/16,88.870003,89.5,88.690002,89.339996,8573000
6/7/16,89.75,90.919998,89.709999,90.709999,12889100
6/8/16,91.029999,91.300003,90.529999,90.790001,9983000
6/9/16,90.18,91.029999,90.110001,90.669998,8974300
6/10/16,90.400002,90.919998,89.779999,89.980003,10353800
6/13/16,89.919998,91.43,89.699997,90.589996,11370000
6/14/16,90.449997,90.870003,89.849998,90.43,10161000
6/15/16,90.230003,90.900002,90,90.160004,10655800
6/16/16,89.699997,91.389999,89.110001,91.220001,12824800
6/17/16,91.489998,91.589996,90.190002,90.720001,17483200
6/20/16,91.290001,91.589996,91.07,91.120003,9388500
6/21/16,90.720001,91.639999,90.25,91.529999,8557500
6/22/16,91.839996,91.93,91.010002,91.169998,8785400
6/23/16,91.93,92.07,91.190002,91.800003,9464500
6/24/16,89.879997,90.800003,89.150002,89.389999,20010500
6/27/16,88.900002,89.099998,88.110001,88.860001,14169400
6/28/16,89.730003,90.93,89.519997,90.910004,13254300
6/29/16,91.410004,92.699997,91.120003,92.459999,13920600
6/30/16,92.330002,93.830002,92.300003,93.739998,14073700
7/1/16,93.360001,93.980003,93.07,93.839996,9946300
7/5/16,93.120003,93.599998,92.25,93.019997,10744100
7/6/16,93.349998,94.120003,92.440002,94.089996,13144400
7/7/16,94.339996,94.489998,92.349998,92.959999,12240700
7/8/16,93.389999,93.779999,92.919998,93.540001,9807600
7/11/16,93.75,94.410004,93.650002,93.889999,8335700
7/12/16,94.669998,94.949997,94.089996,94.949997,9870800
7/13/16,94.650002,94.919998,94.110001,94.879997,9458200
7/14/16,95.050003,95.529999,94.620003,94.949997,9293500
7/15/16,95.440002,95.550003,94.639999,95.120003,10334500
7/18/16,94.919998,95.150002,94.400002,94.82,9865900
7/19/16,94.760002,94.940002,94.199997,94.470001,5901800
7/20/16,94.25,94.419998,93.800003,93.93,7383800
7/21/16,93.889999,94.260002,93.459999,93.849998,6854600
7/22/16,94.110001,94.290001,93.720001,94.010002,7139700
7/25/16,93.470001,93.620003,91.760002,92.199997,10845900
7/26/16,91.629997,92.029999,91.110001,91.529999,12143500
7/27/16,91.510002,91.809998,90.629997,90.910004,10037900
7/28/16,90.540001,90.730003,89.610001,90.199997,12439200
7/29/16,87.610001,89.010002,86.120003,88.949997,23928100
8/1/16,88.080002,88.150002,85.589996,85.860001,22908400
8/2/16,86.449997,87.32,85.580002,87.040001,18919200
8/3/16,87.010002,87.489998,86.599998,87.489998,14632900
8/4/16,87.5,87.650002,87.029999,87.480003,13451400
8/5/16,87.730003,87.830002,87.150002,87.559998,9617300
8/8/16,88.050003,88.889999,88.029999,88.589996,10492700
8/9/16,88.620003,88.760002,88.18,88.699997,9654600
8/10/16,87.779999,87.919998,86.010002,86.410004,12714800
8/11/16,86.690002,87.269997,86.260002,86.720001,11616000
8/12/16,86.959999,87.980003,86.900002,87.849998,9986900
8/15/16,88.419998,88.5,87.639999,87.809998,6432600
8/16/16,87.830002,88.18,87.370003,87.919998,6817900
8/17/16,87.919998,88.18,87.660004,88.110001,7104600
8/18/16,88.379997,88.940002,88.120003,88.910004,10342700
8/19/16,88.629997,88.739998,87.790001,87.800003,8615300
8/22/16,87.309998,88.099998,86.849998,87.989998,8235400
8/23/16,87.839996,88.019997,87.559998,87.720001,6514800
8/24/16,87.5,88.160004,87.349998,88.019997,7985400
8/25/16,88.019997,88.029999,87.239998,87.459999,6935300
8/26/16,87.629997,88.110001,87,87.269997,6474400
8/29/16,87.040001,87.919998,87.040001,87.839996,7027200
8/30/16,87.870003,88.25,87.370003,87.519997,6441100
8/31/16,87.139999,87.209999,86.220001,87.139999,12491400
9/1/16,86.720001,86.839996,86.089996,86.839996,8434700
9/2/16,87.419998,87.580002,86.93,87.419998,7099600
9/6/16,87.839996,88.639999,87.660004,88.57,9851200
9/7/16,88.650002,88.669998,87.970001,88.239998,7470400
9/8/16,88.550003,89.370003,88.040001,89.050003,9579500
9/9/16,88.660004,88.660004,86.800003,86.839996,12820200
9/12/16,86.779999,87.709999,86.629997,87.290001,10889000
9/13/16,86.459999,86.470001,85.080002,85.209999,13214300
9/14/16,85.040001,85.830002,84.269997,84.599998,13957000
9/15/16,84.669998,85.650002,84.519997,85.080002,9062600
9/16/16,84.510002,85.050003,83.559998,84.029999,21538400
9/19/16,84.580002,84.620003,83.809998,83.830002,7929100
9/20/16,83.730003,83.949997,82.540001,82.540001,17522000
9/21/16,82.82,83.620003,82.309998,83.300003,15055900
9/22/16,84.279999,84.550003,83.379997,83.540001,10738500
9/23/16,82.68,84.309998,82.589996,83.449997,12667100
9/26/16,83.519997,84.5,82.93,83.059998,10860300
9/27/16,82.589996,83.339996,82.290001,83.239998,9595000
9/28/16,83.459999,87.230003,83.339996,86.900002,28117900
9/29/16,86.970001,87.199997,85.68,86.459999,19082900
9/30/16,86.839996,87.809998,86.650002,87.279999,15961500
10/3/16,86.940002,87.199997,86.540001,87.050003,7111200
10/4/16,87.379997,87.5,86.07,86.25,8222000
10/5/16,86.830002,87.169998,86.699997,87,8796200
10/6/16,87.25,87.470001,86.440002,87.040001,7718300
10/7/16,86.949997,87.400002,86.419998,86.739998,6614900
10/10/16,87.540001,88.669998,87.510002,88.440002,10060000
